51.1055 57.6291	88.1826	68.7861
51.1479 57.6002	88.4497	68.8668
57.0147	61.3222	97.5024	75.6532
57.2592	61.7655	97.9783	75.7924
56.6638	61.6644	97.7311	75.2121
56.5393	61.7494	97.7264	75.3281
57.2525	62.6027	98.8875	76.1812
57.3757	62.726	98.8605	75.7605
56.857	61.9997	97.8948	75.2056
57.8961	63.486	99.9197	76.1261
57.9323	63.2012	99.3761	75.6392
57.4127	62.7148	98.5338	74.8125
57.8069	63.0066	98.9379	75.0409
56.9114	62.5229	98.2586	74.1772
56.449	61.7354	97.4636	73.5145
56.3863	61.7684	97.4695	73.943
56.3568	61.9164	97.4402	73.8601
56.5443	62.3033	97.8273	73.7796
55.8737	61.8215	97.0952	73.0236
55.8277	61.9408	97.1498	73.1769
56.1587	62.5327	97.8694	73.3321
55.1975	61.261	96.1621	72.239
56.0383	61.5945	96.4705	72.1826
55.9867	61.409	96.186	72.0082
56.339	61.6659	96.5128	72.1183
56.9023	62.271	97.3943	72.8322
57.7027	62.642	97.5945	72.5269
57.6077	62.5937	97.4236	72.5211
56.9816	62.0188	96.8862	72.5806
57.0014	62.2056	96.9433	72.7183
56.5433	61.929	96.5785	72.4384
56.4398	61.9822	96.8169	72.513
56.3515	62.0064	96.9486	72.8637
56.2264	61.8125	96.6621	73.0686
57.3043	62.668	97.7645	73.7916
56.9084	62.3431	97.3092	73.3654
57.0286	63.1164	98.5362	74.1365
56.5893	62.2511	97.3799	73.5621
56.7517	62.6851	97.689	72.5329
57.4592	63.4838	98.5865	73.4825
58.4059	64.0683	98.9655	74.1847
57.758	63.6175	98.3163	73.6118
57.6817	63.7873	98.2325	73.6871
57.394	63.2396	97.3681	73.7247
57.4804	62.9497	96.4658	73.3112
57.2465	62.7908	95.7761	73.4087
57.5087	63.1359	95.6257	73.6038
57.334	63.291	95.45	73.0884
56.6983	62.7565	94.7511	72.9921
57.0236	63.1394	94.8737	73.469
56.9878	63.2194	94.8045	73.7012
57.2161	63.2267	95.4956	73.7097
57.1742	63.2604	95.3004	73.9641
57.0694	63.1216	94.9511	73.9028
56.8966	62.8338	94.961	73.9365
56.2079	62.4442	94.291	73.347
55.9265	62.098	93.1451	72.8472
55.3855	62.2062	93.306	72.6817
55.2467	62.2934	93.0989	72.4659
55.3629	62.2556	93.1315	72.7955
55.5646	62.4352	93.4687	73.2427
55.6569	62.9006	93.6718	73.1345
55.9828	63.2746	93.4356	73.4808
56.447	63.4888	93.6565	73.9327
56.9408	63.1957	93.1829	74.1286
56.5681	62.9235	92.3268	73.5261
56.7197	63.0836	93.0739	73.751
56.8602	62.9471	92.8095	73.8181
56.6632	62.9726	92.3433	73.3442
56.5081	62.7805	91.9726	73.2021
55.9843	62.3497	91.3442	73.0738
55.8488	62.559	92.0676	73.1064
56.5606	63.1358	92.4606	73.4206
56.8007	63.4549	92.5026	73.4744
57.0661	63.4975	92.8	73.4095
57.0758	63.5425	92.9718	73.5632
57.316	63.595	93.0813	73.8211
59.6764	66.2856	97.0777	76.825
60.3559	66.9075	97.5598	76.676
61.8554	68.2234	99.221	77.6519
60.0923	66.7535	96.9888	76.2325
59.6461	66.3772	96.1334	75.2253
60.3811	66.8932	96.9959	76.0576
60.4062	66.8757	97.1875	76.1848
60.7119	67.1807	98.0454	76.7204
60.9686	67.1783	98.145	77.3491
61.2411	67.6163	98.7676	78.1983
61.8493	68.5259	99.6871	79.2502
60.8729	67.7911	98.5536	78.4072
60.6273	67.3963	98.865	78.2269
60.6635	67.3911	98.9968	78.76
61.2898	68.1451	99.8887	79.5594
61.0027	68.0821	99.6037	79.6765
61.4704	68.0447	99.6466	79.4966
61.0172	67.7443	99.3493	78.6376
61.2238	68.2737	99.9147	79.02
61.4126	68.4628	10.0087	79.1362
61.3184	68.2505	99.9231	79.3685
62.3536	69.0286	10.0944	80.3562
62.9248	69.8685	10.1775	80.6702
62.7686	69.9744	10.3357	81.3942
62.4223	69.5728	10.0034	80.6488
61.5772	68.637	10.0225	79.7699
61.0675	68.2826	99.655	79.9521
60.9245	68.1958	99.2733	79.3595
60.5225	67.7519	98.6932	79.1749
59.6305	67.0098	97.776	78.3613
59.2156	66.4725	96.9962	77.7529
58.7659	66.2497	96.8563	78.0753
58.7535	66.1594	96.4831	77.6844
58.3007	65.8244	95.7126	77.3832
58.2785	65.7585	95.664	77.3846
58.414	65.8355	95.7273	77.0407
57.8273	65.5906	95.3227	76.2294
57.5164	65.5745	95.4658	75.9877
57.3507	65.2221	94.9528	75.2272
57.468	65.4244	95.2473	75.7353
57.9	66.2115	96.3932	76.0505
58.5397	66.627	96.9981	76.661
58.9485	66.9685	96.8635	76.987
58.6782	66.4032	95.8836	76.211
58.4941	66.1832	95.6501	76.071
59.4354	66.7727	96.3976	77.0824
58.7359	65.9751	95.2957	76.5047
58.84	65.7508	94.9196	76.054
58.4285	65.5305	94.7137	75.9236
58.2677	65.4026	94.4469	75.6512
58.3822	65.7238	94.6892	75.5692
58.5456	65.814	94.9368	75.3241
57.9241	65.3065	94.1464	75.3702
58.1594	65.3101	94.1461	74.8584
58.3455	65.6299	94.5649	75.0806
58.5386	65.7476	94.6049	74.9851
58.5839	65.6345	94.4612	74.6658
58.7904	65.8129	94.6172	75.0399
58.282	65.7742	94.4869	74.7918
57.9958	65.5962	94.0623	74.4189
58.158	65.6517	94.4534	74.5803
58.0764	65.5799	95.1771	74.9906
58.2472	65.9912	95.3961	75.3158
58.3901	66.0918	95.4298	75.6817
58.2293	66.2155	95.5629	75.6711
58.738	66.8497	96.2642	75.8076
59.1665	67.5238	96.9195	76.0926
59.3148	67.6812	97.3382	76.0737
59.7072	67.9975	97.8241	76.7556
58.7157	66.6159	96.0465	75.5358
58.2695	65.9931	94.9869	74.9022
58.51	66.0081	95.0701	75.3218
58.3282	65.5871	94.5195	75.1825
58.4287	65.9485	95.0335	75.1483
58.077	65.6067	94.5969	74.8048
58.1865	65.6664	94.5956	74.9385
58.6923	66.5072	95.8966	75.5655
58.8007	66.78	96.1057	75.6217
58.7972	66.9436	96.2331	75.5191
58.8252	66.6342	95.9373	75.8897
58.6534	66.5335	95.8158	75.7484
58.4097	66.2921	96.2373	75.3874
58.7686	66.4467	97.0946	75.6562
59.1181	66.8242	97.3319	75.7051
59.0468	66.7377	96.9419	75.6071
59.326	66.9227	97.27	76.0777
58.8161	66.2416	95.8079	75.7075
58.8177	66.5022	96.394	75.6197
58.5452	66.4225	96.4182	75.2168
58.3796	66.255	96.4537	75.3916
58.4881	66.4337	96.3198	75.389
58.7511	66.6208	96.5379	75.3814
59.3424	66.7454	96.7886	75.7761
59.7269	67.1121	97.326	76.4742
60.2307	67.371	97.6745	76.9377
61.222	68.0085	98.5331	77.9717
